education_ordinal,is_married,emp_unemployed,age_scaled,income_scaled,vawg_rate,young_unmarried,low_education_unemployed,married_unemployed,age_income,education_income,age_group_young,age_group_middle,economic_vulnerability,empowerment_score,high_vawg_environment,emp_employed,emp_semi employed,violence,married_low_income,young_unemployed,predicted_violence
2,0,False,-1.3705778378635878,2.5244081646441483,17.350361445783133,1,0,0,-3.4598978841831647,5.048816329288297,1,0,0,3,0,True,False,0,0,0,0.020045845366907972
2,1,False,-0.9559278054636194,2.7472214489517457,17.350361445783133,0,0,0,-2.626145370819027,5.494442897903491,1,0,0,3,0,True,False,0,0,0,0.042265556850111075
2,1,False,-0.8522652973636273,2.6547442675228354,17.350361445783133,0,0,0,-2.2625464125847343,5.309488535045671,1,0,0,3,0,True,False,0,0,0,0.05332278399156293
2,0,False,-0.7486027892636352,2.0071429719852536,17.350361445783133,1,0,0,-1.5025528272790634,4.014285943970507,1,0,0,3,0,True,False,0,0,0,0.08027612964994967
1,1,False,-0.6449402811636431,2.6547442675228354,23.165180722891563,0,0,0,-1.7121515143137471,2.6547442675228354,0,1,1,2,1,True,False,0,0,0,0.029391016746355695
1,1,False,-0.5412777730636511,2.6547442675228354,23.165180722891563,0,0,0,-1.436954065178254,2.6547442675228354,0,1,1,2,1,True,False,0,0,0,0.03607033761183958
2,1,False,-0.3339527568636669,2.3016109504610194,17.350361445783133,0,0,0,-0.768629322134062,4.603221900922039,0,1,0,3,0,True,False,0,0,0,0.019704109976796752
2,1,False,-0.2302902487636747,2.818953264681625,17.350361445783133,0,0,0,-0.6491774485767046,5.63790652936325,0,1,0,3,0,True,False,0,0,0,0.02030991981699189
1,1,False,0.8063348322362462,2.409759931313054,23.165180722891563,0,0,0,1.94307336994494,2.409759931313054,0,0,1,2,1,True,False,1,0,0,0.8537433695766713
1,1,False,1.531972388936191,2.0788458692975813,23.165180722891563,0,0,0,3.184734472617948,2.0788458692975813,0,0,1,2,1,True,False,1,0,0,0.9664864265575662
1,1,False,1.9466224213361596,2.3016109504610194,23.165180722891563,0,0,0,4.480367481360249,2.3016109504610194,0,0,1,2,1,True,False,1,0,0,0.9841813318804595
2,0,False,-1.3705778378635878,2.0071429719852536,17.350361445783133,1,0,0,-2.7509456748266445,4.014285943970507,1,0,0,3,0,False,True,0,0,0,0.023922465221204395
2,0,False,-1.2669153297635958,1.7844742320873648,17.350361445783133,1,0,0,-2.2607777601996037,3.5689484641747296,1,0,0,3,0,False,True,0,0,0,0.031700019079852176
2,1,False,-1.2669153297635958,2.1374362329785046,17.350361445783133,0,0,0,-2.70795072995262,4.274872465957009,1,0,0,3,0,False,True,0,0,0,0.028125002170623057
2,0,False,-1.1632528216636036,2.3016109504610194,17.350361445783133,1,0,0,-2.677355432495629,4.603221900922039,1,0,0,3,0,False,True,0,0,0,0.03266462886740283
2,0,False,-1.0595903135636116,2.1374362329785046,17.350361445783133,1,0,0,-2.264806728323918,4.274872465957009,1,0,0,3,0,False,True,0,0,0,0.04232242934507011
2,0,False,-1.0595903135636116,2.2298919902523457,17.350361445783133,1,0,0,-2.362771953164469,4.459783980504692,1,0,0,3,0,False,True,0,0,0,0.041032100566382006
